term,term_normalized,icd_classification,icd_code,source,note,sort_order
head injury,head injury,icd11,PA0Z,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): traffic, fall, assault, falling object, unspecified",1
head injury,head injury,icd11,PA6Z,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): traffic, fall, assault, falling object, unspecified",2
head injury,head injury,icd11,PF2Z,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): traffic, fall, assault, falling object, unspecified",3
head injury,head injury,icd11,PA8Z,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): traffic, fall, assault, falling object, unspecified",4
head injury,head injury,icd11,PB6Z,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): traffic, fall, assault, falling object, unspecified",5
head trauma,head trauma,icd10,V89.2,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): traffic, fall, assault, falling object, unspecified",1
head trauma,head trauma,icd10,W19,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): traffic, fall, assault, falling object, unspecified",2
head trauma,head trauma,icd10,Y09,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): traffic, fall, assault, falling object, unspecified",3
head trauma,head trauma,icd10,W20,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): traffic, fall, assault, falling object, unspecified",4
head trauma,head trauma,icd10,X59,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): traffic, fall, assault, falling object, unspecified",5
head trauma,head trauma,icd11,PA0Z,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): traffic, fall, assault, falling object, unspecified",1
head trauma,head trauma,icd11,PA6Z,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): traffic, fall, assault, falling object, unspecified",2
head trauma,head trauma,icd11,PF2Z,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): traffic, fall, assault, falling object, unspecified",3
head trauma,head trauma,icd11,PA8Z,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): traffic, fall, assault, falling object, unspecified",4
head trauma,head trauma,icd11,PB6Z,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): traffic, fall, assault, falling object, unspecified",5
anaphylaxis,anaphylaxis,icd10,Y57,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): drug, vaccine, bee/wasp, venomous animal, unspecified",1
anaphylaxis,anaphylaxis,icd10,Y59,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): drug, vaccine, bee/wasp, venomous animal, unspecified",2
anaphylaxis,anaphylaxis,icd10,X23,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): drug, vaccine, bee/wasp, venomous animal, unspecified",3
anaphylaxis,anaphylaxis,icd10,X29,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): drug, vaccine, bee/wasp, venomous animal, unspecified",4
anaphylaxis,anaphylaxis,icd10,X59,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): drug, vaccine, bee/wasp, venomous animal, unspecified",5
anaphylaxis,anaphylaxis,icd11,PL00,seed_used_cod,external cause (S/T injury codes are not selectable as COD),2
anaphylaxis,anaphylaxis,icd11,PA78,seed_used_cod,external cause (S/T injury codes are not selectable as COD),3
anaphylaxis,anaphylaxis,icd11,PB6Z,seed_used_cod,external cause (S/T injury codes are not selectable as COD),4
allergic reaction,allergic reaction,icd10,Y57,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): drug, vaccine, bee/wasp, venomous animal, unspecified",1
allergic reaction,allergic reaction,icd10,Y59,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): drug, vaccine, bee/wasp, venomous animal, unspecified",2
allergic reaction,allergic reaction,icd10,X23,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): drug, vaccine, bee/wasp, venomous animal, unspecified",3
allergic reaction,allergic reaction,icd10,X29,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): drug, vaccine, bee/wasp, venomous animal, unspecified",4
allergic reaction,allergic reaction,icd10,X59,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): drug, vaccine, bee/wasp, venomous animal, unspecified",5
allergic reaction,allergic reaction,icd11,PL00,seed_used_cod,external cause (S/T injury codes are not selectable as COD),2
allergic reaction,allergic reaction,icd11,PA78,seed_used_cod,external cause (S/T injury codes are not selectable as COD),3
allergic reaction,allergic reaction,icd11,PB6Z,seed_used_cod,external cause (S/T injury codes are not selectable as COD),4
drug reaction,drug reaction,icd10,Y57,seed_used_cod,external cause (S/T injury codes are not selectable as COD),
drug reaction,drug reaction,icd11,PL00,seed_used_cod,external cause (S/T injury codes are not selectable as COD),
enteric fever,enteric fever,icd10,A01,seed_used_cod,common term,
enteric fever,enteric fever,icd11,1A07,seed_used_cod,common term,
AIDS,aids,icd10,B24,seed_used_cod,common term,
AIDS,aids,icd11,1C62.Z,seed_used_cod,common term,
snake bite,snake bite,icd10,X20,seed_used_cod,external cause (S/T injury codes are not selectable as COD),
snake bite,snake bite,icd11,PA78,seed_used_cod,external cause (S/T injury codes are not selectable as COD),
snakebite,snakebite,icd10,X20,seed_used_cod,external cause (S/T injury codes are not selectable as COD),
snakebite,snakebite,icd11,PA78,seed_used_cod,external cause (S/T injury codes are not selectable as COD),
dog bite,dog bite,icd10,W54,seed_used_cod,external cause (S/T injury codes are not selectable as COD); rabies is A82 / 1C82,
dog bite,dog bite,icd11,PA75,seed_used_cod,external cause (S/T injury codes are not selectable as COD); rabies is A82 / 1C82,
burns,burns,icd10,X09,seed_used_cod,external cause (S/T injury codes are not selectable as COD); scalds are X19,
burns,burns,icd11,PB10,seed_used_cod,external cause (S/T injury codes are not selectable as COD); scalds are X19,
organophosphate,organophosphate,icd10,X48,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): accidental, intentional",1
organophosphate,organophosphate,icd10,X68,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): accidental, intentional",2
organophosphate,organophosphate,icd11,PB33,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): accidental, intentional",1
organophosphate,organophosphate,icd11,PD03,seed_used_cod,"external cause (S/T injury codes are not selectable as COD): accidental, intentional",2
COPD,copd,icd10,J44,seed_used_cod,common term,
COPD,copd,icd11,CA22.Z,seed_used_cod,common term,
cancer,cancer,icd10,C80,seed_used_cod,site unspecified,
cancer,cancer,icd11,2D4Z,seed_used_cod,site unspecified,
PPH,pph,icd10,O72,seed_used_cod,common term,
PPH,pph,icd11,JA43.Z,seed_used_cod,common term,
prematurity,prematurity,icd10,P07,seed_used_cod,common term,
prematurity,prematurity,icd11,KA21,seed_used_cod,common term,
neonatal sepsis,neonatal sepsis,icd10,P36,seed_used_cod,common term,
neonatal sepsis,neonatal sepsis,icd11,KA60,seed_used_cod,common term,
stillbirth,stillbirth,icd10,P95,seed_used_cod,common term,
stillbirth,stillbirth,icd11,KD3B.1,seed_used_cod,common term; KD3B/KD3B.Z retired 2026-09-25 (decision 18: not selectable),1
stillbirth,stillbirth,icd11,KD3B.0,seed_used_cod,common term; KD3B/KD3B.Z retired 2026-09-25 (decision 18: not selectable),2
fresh stillbirth,fresh stillbirth,icd10,P95,seed_used_cod,ICD-10 cannot distinguish fresh from macerated,
fresh stillbirth,fresh stillbirth,icd11,KD3B.1,seed_used_cod,intrapartum fetal death,
intrapartum stillbirth,intrapartum stillbirth,icd10,P95,seed_used_cod,ICD-10 cannot distinguish fresh from macerated,
intrapartum stillbirth,intrapartum stillbirth,icd11,KD3B.1,seed_used_cod,intrapartum fetal death,
macerated stillbirth,macerated stillbirth,icd10,P95,seed_used_cod,ICD-10 cannot distinguish fresh from macerated,
macerated stillbirth,macerated stillbirth,icd11,KD3B.0,seed_used_cod,antepartum fetal death,
antepartum stillbirth,antepartum stillbirth,icd10,P95,seed_used_cod,ICD-10 cannot distinguish fresh from macerated,
antepartum stillbirth,antepartum stillbirth,icd11,KD3B.0,seed_used_cod,antepartum fetal death,
TB,tb,icd10,A16,seed_used_cod,VA cannot know bacteriological confirmation; A15/A16/1B10.x share the Pulmonary tuberculosis bucket,
TB,tb,icd11,1B10.Z,seed_used_cod,VA cannot know bacteriological confirmation; A15/A16/1B10.x share the Pulmonary tuberculosis bucket,
tuberculosis,tuberculosis,icd10,A16,seed_used_cod,VA cannot know bacteriological confirmation; A15/A16/1B10.x share the Pulmonary tuberculosis bucket,
tuberculosis,tuberculosis,icd11,1B10.Z,seed_used_cod,VA cannot know bacteriological confirmation; A15/A16/1B10.x share the Pulmonary tuberculosis bucket,
Kochs,kochs,icd10,A16,seed_used_cod,VA cannot know bacteriological confirmation; A15/A16/1B10.x share the Pulmonary tuberculosis bucket,
Kochs,kochs,icd11,1B10.Z,seed_used_cod,VA cannot know bacteriological confirmation; A15/A16/1B10.x share the Pulmonary tuberculosis bucket,
pulmonary TB,pulmonary tb,icd10,A16,seed_used_cod,VA cannot know bacteriological confirmation; A15/A16/1B10.x share the Pulmonary tuberculosis bucket,
pulmonary TB,pulmonary tb,icd11,1B10.Z,seed_used_cod,VA cannot know bacteriological confirmation; A15/A16/1B10.x share the Pulmonary tuberculosis bucket,
koch disease,koch disease,icd10,A16,seed_used_cod,VA cannot know bacteriological confirmation; A15/A16/1B10.x share the Pulmonary tuberculosis bucket,
koch disease,koch disease,icd11,1B10.Z,seed_used_cod,VA cannot know bacteriological confirmation; A15/A16/1B10.x share the Pulmonary tuberculosis bucket,
Koch's disease,koch s disease,icd10,A16,seed_used_cod,VA cannot know bacteriological confirmation; A15/A16/1B10.x share the Pulmonary tuberculosis bucket,
Koch's disease,koch s disease,icd11,1B10.Z,seed_used_cod,VA cannot know bacteriological confirmation; A15/A16/1B10.x share the Pulmonary tuberculosis bucket,
motor vehicle accident,motor vehicle accident,icd11,PA0Z,seed_used_cod,ICD-11 traffic counterpart (Road traffic accident bucket),
MVA,mva,icd11,PA0Z,seed_used_cod,ICD-11 traffic counterpart (Road traffic accident bucket),
road accident,road accident,icd11,PA0Z,seed_used_cod,ICD-11 traffic counterpart (Road traffic accident bucket),
road traffic accident,road traffic accident,icd11,PA0Z,seed_used_cod,ICD-11 traffic counterpart (Road traffic accident bucket),
road traffic injury,road traffic injury,icd11,PA0Z,seed_used_cod,ICD-11 traffic counterpart (Road traffic accident bucket),
RTA,rta,icd11,PA0Z,seed_used_cod,ICD-11 traffic counterpart (Road traffic accident bucket),
accident,accident,icd10,V89.2,seed_used_cod,"ambiguous: traffic, fall, unspecified",1
accident,accident,icd11,PA0Z,seed_used_cod,"ambiguous: traffic, fall, unspecified",1
accident,accident,icd10,W19,seed_used_cod,"ambiguous: traffic, fall, unspecified",2
accident,accident,icd11,PA6Z,seed_used_cod,"ambiguous: traffic, fall, unspecified",2
accident,accident,icd10,X59,seed_used_cod,"ambiguous: traffic, fall, unspecified",3
accident,accident,icd11,PB6Z,seed_used_cod,"ambiguous: traffic, fall, unspecified",3
